movieId,title,genres,year,Title
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story
6,Heat (1995),Action|Crime|Thriller,1995,Heat
16,Casino (1995),Crime|Drama,1995,Casino
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,The Usual Suspects
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,The Postman
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,The Bridges of Madison County
110,Braveheart (1995),Action|Drama|War,1995,Braveheart
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,Taxi Driver
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994,Chungking Express
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,Apollo 13
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964,The Umbrellas of Cherbourg
215,Before Sunrise (1995),Drama|Romance,1995,Before Sunrise
223,Clerks (1994),Comedy,1994,Clerks
235,Ed Wood (1994),Comedy|Drama,1994,Ed Wood
261,Little Women (1994),Drama,1994,Little Women
277,Miracle on 34th Street (1994),Drama,1994,Miracle on 34th Street
290,Once Were Warriors (1994),Crime|Drama,1994,Once Were Warriors
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,1994,Léon: The Professional
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,1994,Three Colors: Red
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,1993,Three Colors: Blue
337,What's Eating Gilbert Grape (1993),Drama,1993,What's Eating Gilbert Grape
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1994,The Lion King
431,Carlito's Way (1993),Crime|Drama,1993,Carlito's Way
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,1993,Farewell My Concubine
457,"Fugitive, The (1993)",Thriller,1993,The Fugitive
475,In the Name of the Father (1993),Drama,1993,In the Name of the Father
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993,Jurassic Park
501,Naked (1993),Drama,1993,Naked
508,Philadelphia (1993),Drama,1993,Philadelphia
515,"Remains of the Day, The (1993)",Drama|Romance,1993,The Remains of the Day
541,Blade Runner (1982),Action|Sci-Fi|Thriller,1982,Blade Runner
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,1993,The Nightmare Before Christmas
553,Tombstone (1993),Action|Drama|Western,1993,Tombstone
555,True Romance (1993),Crime|Thriller,1993,True Romance
586,Home Alone (1990),Children|Comedy,1990,Home Alone
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1992,Aladdin
590,Dances with Wolves (1990),Adventure|Drama|Western,1990,Dances with Wolves
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,1991,Beauty and the Beast
599,"Wild Bunch, The (1969)",Adventure|Western,1969,The Wild Bunch
608,Fargo (1996),Comedy|Crime|Drama|Thriller,1996,Fargo
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller,1996,Primal Fear
640,Diabolique (1996),Drama|Thriller,1996,Diabolique
665,Underground (1995),Comedy|Drama|War,1995,Underground
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,1995,Ghost in the Shell
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
778,Trainspotting (1996),Comedy|Crime|Drama,1996,Trainspotting
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,1940,The Philadelphia Story
899,Singin' in the Rain (1952),Comedy|Musical|Romance,1952,Singin' in the Rain
903,Vertigo (1958),Drama|Mystery|Romance|Thriller,1958,Vertigo
905,It Happened One Night (1934),Comedy|Romance,1934,It Happened One Night
906,Gaslight (1944),Drama|Thriller,1944,Gaslight
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,1959,North by Northwest
909,"Apartment, The (1960)",Comedy|Drama|Romance,1960,The Apartment
910,Some Like It Hot (1959),Comedy|Crime,1959,Some Like It Hot
911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller,1963,Charade
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,1941,The Maltese Falcon
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance,1964,My Fair Lady
916,Roman Holiday (1953),Comedy|Drama|Romance,1953,Roman Holiday
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,1939,The Wizard of Oz
920,Gone with the Wind (1939),Drama|Romance|War,1939,Gone with the Wind
923,Citizen Kane (1941),Drama|Mystery,1941,Citizen Kane
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,1968,2001: A Space Odyssey
926,All About Eve (1950),Drama,1950,All About Eve
928,Rebecca (1940),Drama|Mystery|Romance|Thriller,1940,Rebecca
930,Notorious (1946),Film-Noir|Romance|Thriller,1946,Notorious
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,1938,The Adventures of Robin Hood
942,Laura (1944),Crime|Film-Noir|Mystery,1944,Laura
946,To Be or Not to Be (1942),Comedy|Drama|War,1942,To Be or Not to Be
